大学代码,大学名称,州,专业代码,专业名称,经度,纬度
218733,South Carolina State University,SC,14.4201,Robotics Engineering,-80.848722,33.497968
218742,University of South Carolina-Upstate,SC,14.4201,Robotics Engineering,-81.970583,34.996403
220978,Middle Tennessee State University,TN,14.4201,Robotics Engineering,-86.360618,35.848005
226231,LeTourneau University,TX,14.4201,Robotics Engineering,-94.726394,32.46632
227304,Odessa College,TX,14.4201,Robotics Engineering,-102.383477,31.866812
228705,Texas A&M University-Kingsville,TX,14.4201,Robotics Engineering,-97.882387,27.525168
230171,Utah Tech University,UT,14.4201,Robotics Engineering,-113.565903,37.102769
230737,Utah Valley University,UT,14.4201,Robotics Engineering,-111.716456,40.281078
230764,University of Utah,UT,14.4201,Robotics Engineering,-111.846044,40.762484
236948,University of Washington-Seattle Campus,WA,14.4201,Robotics Engineering,-122.30514,47.65538
238263,Madison Area Technical College,WI,14.4201,Robotics Engineering,-89.327921,43.12183
243780,Purdue University-Main Campus,IN,14.4201,Robotics Engineering,-86.914435,40.428206
245999,Francis Tuttle Technology Center,OK,14.4201,Robotics Engineering,-97.640672,35.60052
446774,Blue Ridge Community and Technical College,WV,14.4201,Robotics Engineering,-78.001918,39.43529
482705,Northeastern University Professional Programs,MA,14.4201,Robotics Engineering,-71.088782,42.339992
486840,Kennesaw State University,GA,14.4201,Robotics Engineering,-84.583052,34.038807
498571,Pennsylvania Western University,PA,14.4201,Robotics Engineering,-79.88679,40.064964
