大学代码,大学名称,州,专业代码,专业名称,经度,纬度
207324,Oklahoma Christian University,OK,11.0102,Artificial Intelligence,-97.469526,35.611412
207670,Rose State College,OK,11.0102,Artificial Intelligence,-97.414113,35.44372
207865,Southwestern Oklahoma State University,OK,11.0102,Artificial Intelligence,-98.707768,35.535281
209542,Oregon State University,OR,11.0102,Artificial Intelligence,-123.274723,44.56395
210270,Umpqua Community College,OR,11.0102,Artificial Intelligence,-123.332475,43.289317
211440,Carnegie Mellon University,PA,11.0102,Artificial Intelligence,-79.941993,40.44357
212601,Gannon University,PA,11.0102,Artificial Intelligence,-80.087166,42.128403
214777,Pennsylvania State University-Main Campus,PA,11.0102,Artificial Intelligence,-77.862848,40.7965
215062,University of Pennsylvania,PA,11.0102,Artificial Intelligence,-75.19391,39.950929
215293,University of Pittsburgh-Pittsburgh Campus,PA,11.0102,Artificial Intelligence,-79.953254,40.444388
215655,Robert Morris University,PA,11.0102,Artificial Intelligence,-80.210468,40.520415
218663,University of South Carolina-Columbia,SC,11.0102,Artificial Intelligence,-81.026935,33.996788
219082,Dakota State University,SD,11.0102,Artificial Intelligence,-97.113358,44.013014
219347,South Dakota School of Mines and Technology,SD,11.0102,Artificial Intelligence,-103.205753,44.075439
220215,Freed-Hardeman University,TN,11.0102,Artificial Intelligence,-88.637964,35.440611
220552,South College,TN,11.0102,Artificial Intelligence,-83.97362,35.958283
221759,The University of Tennessee-Knoxville,TN,11.0102,Artificial Intelligence,-83.925852,35.952082
224554,East Texas A&M University,TX,11.0102,Artificial Intelligence,-95.904579,33.242112
225423,Houston Community College,TX,11.0102,Artificial Intelligence,-95.377319,29.742114
225432,University of Houston-Downtown,TX,11.0102,Artificial Intelligence,-95.359338,29.7661
227216,University of North Texas,TX,11.0102,Artificial Intelligence,-97.148422,33.211178
228778,The University of Texas at Austin,TX,11.0102,Artificial Intelligence,-97.738273,30.282825
229027,The University of Texas at San Antonio,TX,11.0102,Artificial Intelligence,-98.620657,29.583709
230171,Utah Tech University,UT,11.0102,Artificial Intelligence,-113.565903,37.102769
230737,Utah Valley University,UT,11.0102,Artificial Intelligence,-111.716456,40.281078
230764,University of Utah,UT,11.0102,Artificial Intelligence,-111.846044,40.762484
232706,Marymount University,VA,11.0102,Artificial Intelligence,-77.128785,38.905562
234915,City University of Seattle,WA,11.0102,Artificial Intelligence,-122.344594,47.617381
236948,University of Washington-Seattle Campus,WA,11.0102,Artificial Intelligence,-122.30514,47.65538
238616,Concordia University-Wisconsin,WI,11.0102,Artificial Intelligence,-87.91552,43.253387
239105,Marquette University,WI,11.0102,Artificial Intelligence,-87.927961,43.03903
239318,Milwaukee School of Engineering,WI,11.0102,Artificial Intelligence,-87.907691,43.045364
243780,Purdue University-Main Campus,IN,11.0102,Artificial Intelligence,-86.914435,40.428206
363934,University of Advancing Technology,AZ,11.0102,Artificial Intelligence,-111.976087,33.377712
364025,Chandler-Gilbert Community College,AZ,11.0102,Artificial Intelligence,-111.795922,33.293897
384333,Estrella Mountain Community College,AZ,11.0102,Artificial Intelligence,-112.343158,33.480722
443410,DigiPen Institute of Technology,WA,11.0102,Artificial Intelligence,-122.150603,47.68871
445692,Neumont College of Computer Science,UT,11.0102,Artificial Intelligence,-111.890573,40.766096
459994,Strayer University-Global Region,DC,11.0102,Artificial Intelligence,-77.034133,38.904881
479956,Pennsylvania State University-World Campus,PA,11.0102,Artificial Intelligence,-77.862848,40.7965
490805,Purdue University Northwest,IN,11.0102,Artificial Intelligence,-87.474236,41.584324
492139,DSDT,MI,11.0102,Artificial Intelligence,-83.081501,42.325621
